href,name,adress,phone,rate,rate_count,site,average_bill
https://yandex.ru/maps/org/yelans/1026182099/,Еланс,"Можайское ш., 29, Москвакабинет 5",+7 (495) 443-66-42,"4,3",10 оценок,elans-company.ru,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, восстановление утраченных документов, юридическое сопровождение бизнеса, бухгалтерское сопровождение бизнеса, налоговые дела, кадровое делопроизводство"
https://yandex.ru/maps/org/notarius_gasparova_k_g_/213210087489/,Нотариус Гаспарова К. Г.,"Можайское ш., 4, корп. 1, Москва",+7 (495) 916-91-99,"4,9",737 оценок,gasparovak.ru,наличными
https://yandex.ru/maps/org/yeyus/58003353713/,Еюс,"ул. Горбунова, 2, стр. 3, Москва",+7 (499) 215-09-01,"4,4",320 оценок,els24.com,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, восстановление утраченных документов, юридическое сопровождение бизнеса, бухгалтерское сопровождение бизнеса, налоговые дела, кадровое делопроизводство"
https://yandex.ru/maps/org/mayyers_i_partnery/178206716166/,Майерс и партнеры,"Верейская ул., 17, Москва",+7 (993) 687-97-77,"4,8",24 оценки,null,null
https://yandex.ru/maps/org/yagofarov_i_partnery/104331211963/,Ягофаров и Партнеры,"Верейская ул., 29, стр. 151, Москва",8 (800) 222-12-12,"5,0",284 оценки,yagofarov.ru,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, восстановление утраченных документов, юридическое сопровождение бизнеса, бухгалтерское сопровождение бизнеса, налоговые дела, кадровое делопроизводство, международное право"
https://yandex.ru/maps/org/ascend_agency/12769175834/,Ascend Agency,"Большой бул., 42, стр. 1, Инновационный центр Сколково, Можайский район, Западный административный округ, МоскваРецепция 6 ядра",+7 (964) 772-24-30,"4,4",12 оценок,ascend-agency.ru,разрешено с собаками до 35 см.
https://yandex.ru/maps/org/konsaltingovaya_gruppa_autsorsing/72970928679/,Консалтинговая группа Аутсорсинг,"ул. Красных Зорь, 35, Москва",+7 (962) 907-99-92,"5,0",31 оценка,buhuslugi-moscow.ru,разрешено со всеми животными
https://yandex.ru/maps/org/strategiya_biznesa/162561599450/,Стратегия бизнеса,"Верейская ул., 17, Москва",+7 (495) 127-04-10,"4,5",11 оценок,strbiz.ru,"регистрация НКО, перерегистрация, регистрация ООО, регистрация АО, ликвидация фирм, регистрация НОУ, АНО, регистрация ИП, внесение изменений в документы"
https://yandex.ru/maps/org/advokat_anas_elmurzayev/53769900650/,Адвокат Анас Эльмурзаев,"Можайское ш., 25, Москва",+7 (964) 301-44-00,"4,3",14 оценок,null,"личный адвокат, семейное право, наследственное право, трудовое право, жилищное право, споры с банками, страховыми и кредитными организациями, защита прав потребителей, земельное право и недвижимость, уголовный адвокат, гражданское право"
https://yandex.ru/maps/org/yuridicheskiy_kabinet/219195004758/,Юридический кабинет,"ул. Горбунова, 2, стр. 3, Москва",+7 (495) 231-67-28,"4,5",10 оценок,nco77.ru,"регистрация НОУ, АНО, регистрация АО, перерегистрация, ликвидация фирм, регистрация ООО, внесение изменений в документы, регистрация ИП, банкротство"
https://yandex.ru/maps/org/advokatskoye_byuro_mkm/40372325508/,Адвокатское бюро МКМ,"Аминьевское ш., 6, Москва",+7 (926) 667-22-02,"4,0",9 оценок,abmkm.ru,"регистрация НОУ, АНО, регистрация АО, перерегистрация, ликвидация фирм, регистрация ООО, внесение изменений в документы, регистрация ИП, банкротство, регистрация НКО"
https://yandex.ru/maps/org/kaloy_ru/153966609046/,Kaloy.ru,"Верейская ул., 29, стр. 33, Москваэтаж 1, офис D115",+7 (495) 208-30-00,"4,8",74 оценки,www.kaloy.ru,банкротство
https://yandex.ru/maps/org/migratsionny_tsentr/52548600844/,Миграционный центр,"ул. Калинина, 8, рабочий посёлок Новоивановскоеэтаж 1",+7 (495) 159-59-16,"4,7",255 оценок,emcmo-odincovo.ru,запрещено с животными
https://yandex.ru/maps/org/advokoll/176718571775/,Адвоколл,"Верейская ул., 29, стр. 33, Москва",8 (800) 600-18-08,"4,1",6 оценок,advocall.me,"регистрация НОУ, АНО, регистрация АО, перерегистрация, ликвидация фирм, регистрация ООО, внесение изменений в документы, регистрация ИП, банкротство, аккредитация иностранных представительств, регистрация НКО"
https://yandex.ru/maps/org/shapenko_i_partnery/178825699778/,Шапенко и Партнеры,"Новая ул., 100, д. Сколковоофис E2-E4",+7 (916) 132-22-50,"4,9",21 оценка,shapenko.ru,null
https://yandex.ru/maps/org/advokat_narek_kostanyan/244190766647/,Адвокат Нарек Костанян,"Верейская ул., 29, стр. 151, Москва",+7 (968) 735-09-00,"4,8",31 оценка,null,"регистрация НОУ, АНО, перерегистрация, ликвидация фирм, регистрация ООО, внесение изменений в документы, регистрация ИП, банкротство"
https://yandex.ru/maps/org/ip_artyukhov_a_m_/211432876125/,ИП Артюхов А. М.,"Большой бул., 42, стр. 1, Инновационный центр Сколково, Можайский район, Западный административный округ, Москва",+7 (985) 226-25-30,"5,0",Ещё нет отзывов,артюхов.орг,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, юридическое сопровождение бизнеса"
https://yandex.ru/maps/org/frileks/1294716577/,Фрилекс,"ул. Горбунова, 2, стр. 3, Москва",+7 (495) 797-17-40,"4,4",10 оценок,frilex.ru,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, юридическое сопровождение бизнеса, налоговые дела"
https://yandex.ru/maps/org/yershov_gorbunov_i_partnery/109690896925/,"Ершов, Горбунов и Партнеры","ул. Горбунова, 2, стр. 3, Москва",+7 (495) 199-18-02,"4,2",8 оценок,egp-law.ru,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, юридическое сопровождение бизнеса, налоговые дела"
